date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-12-01 00:00:00,19.4,13,27.2,0,,,9.9,,1014.5,
2025-12-02 00:00:00,18.9,12,26.6,0,,,9.8,,1014.5,
2025-12-03 00:00:00,19.8,14.6,27.6,0,,,15.9,,1017.3,
2025-12-04 00:00:00,20.5,15.2,28.1,0,,,14,,1018.6,
2025-12-05 00:00:00,19.7,12.5,28.4,0,,,10.5,,1019,
2025-12-06 00:00:00,21.1,16.5,28.5,0,,,15.1,,1018.9,
2025-12-07 00:00:00,20.5,14.5,28.7,0,,,11.9,,1018.4,
2025-12-08 00:00:00,20.7,13.1,30.1,0,,,11.5,,1018.7,
2025-12-09 00:00:00,20.6,13.3,30,0,,,9.5,,1018.5,
2025-12-10 00:00:00,19.8,12.2,28.8,0,,,8.8,,1017.9,
2025-12-11 00:00:00,19.7,13.3,26.8,0,,,8,,1016.7,
2025-12-12 00:00:00,20,16.4,26,0,,,10.2,,1015.5,
2025-12-13 00:00:00,20.4,15.8,26.6,0,,,10.6,,1015,
2025-12-14 00:00:00,19.8,14.7,27.5,0,,,9.8,,1016.6,
2025-12-15 00:00:00,20.1,14.4,27.9,0,,,13.3,,1017.4,
2025-12-16 00:00:00,20.9,15.6,28.3,0,,,17.7,,1016.5,
2025-12-17 00:00:00,21,15.1,28.2,0,,,15.2,,1017.2,
2025-12-18 00:00:00,19.9,13.5,28.2,0,,,9.7,,1017.6,
2025-12-19 00:00:00,21.1,15.7,29.3,0,,,8.7,,1015.7,
2025-12-20 00:00:00,21.8,17.6,28.4,0,,,7.2,,1013.3,
2025-12-21 00:00:00,21.7,17.5,27.3,0,,,9.6,,1014.5,
2025-12-22 00:00:00,20.5,14.7,27.8,0,,,10.7,,1015.9,
2025-12-23 00:00:00,20.7,15.9,27.1,0,,,14.7,,1016.9,
2025-12-24 00:00:00,18.9,13.6,26.6,0,,,11.8,,1016.4,
2025-12-25 00:00:00,17.8,11.7,24.8,0,,,8.9,,1015.6,
2025-12-26 00:00:00,18.1,13,25,0,,,8.2,,1015.4,
2025-12-27 00:00:00,18.5,13.1,25.8,0,,,10.7,,1015.8,
2025-12-28 00:00:00,18.8,13.3,26.3,0,,,10,,1016.1,
2025-12-29 00:00:00,18.7,12.7,26,0,,,10.2,,1015.6,
2025-12-30 00:00:00,,,,,,,,,,
2025-12-31 00:00:00,,,,,,,,,,
